seed,locations,num_uavs,num_customers,num_obstacles,heuristic_truck_route,makespan,collisions_obstacle,collision_uavs
10355069,"[[5000 5000]
 [5250 6038]
 [3574 3000]
 [6250 7306]
 [6710 3250]
 [1500 3632]
 [3737 1500]
 [6000 1605]
 [4150 7750]
 [4250 5558]
 [8403 6750]
 [5000 2432]
 [3595 2250]
 [4250 6883]
 [8385 3000]
 [5500 1578]
 [2355 5250]
 [1500 3441]
 [3395 7250]
 [4250 4918]
 [7759 7500]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[2, 12, 6, 15, 7, 4, 3, 1, 9, 19]",1651,0,0
13101285,"[[5000 5000]
 [7000 2944]
 [2681 3000]
 [7500 2489]
 [4186 6250]
 [6750 7325]
 [1554 4750]
 [3250 4342]
 [4714 5250]
 [6500 7952]
 [6424 6750]
 [3000 8328]
 [5023 5500]
 [6000 5572]
 [4200 7750]
 [2500 2164]
 [7843 2000]
 [1500 5137]
 [1993 6500]
 [4250 8371]
 [5379 7000]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[8, 4, 7, 2, 15, 3, 1, 10, 13, 12]",1801,0,2
13975902,"[[5000 5000]
 [2250 6820]
 [4151 6250]
 [2000 6334]
 [3171 5500]
 [6750 2563]
 [4805 2500]
 [1750 7736]
 [7453 3500]
 [4250 2732]
 [7003 5250]
 [8250 3395]
 [5615 2750]
 [6000 7901]
 [5326 6750]
 [6750 2903]
 [3911 8000]
 [8000 1961]
 [6874 6000]
 [6000 6659]
 [8352 2500]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[12, 15, 8, 10, 18, 2, 1, 3, 4]",1582,0,2
14499665,"[[5000 5000]
 [2750 4328]
 [2696 6500]
 [6000 5997]
 [2315 4500]
 [2000 6164]
 [7476 1750]
 [5250 6413]
 [6117 5750]
 [8000 6094]
 [7765 5500]
 [4750 6697]
 [5059 1750]
 [3750 1714]
 [2453 7500]
 [4000 6642]
 [5007 6500]
 [7500 7870]
 [2220 2500]
 [5000 6849]
 [3814 2500]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[8, 3, 7, 15, 2, 4, 1, 20, 13, 12]",1473,0,0
16850502,"[[5000 5000]
 [4750 7009]
 [5303 2750]
 [3000 3554]
 [4322 6500]
 [7500 6449]
 [4964 6500]
 [7250 5090]
 [2649 7500]
 [8250 4174]
 [2758 2750]
 [3000 3779]
 [5846 1500]
 [3250 8047]
 [7714 8000]
 [2000 5299]
 [4233 3750]
 [7500 7500]
 [4634 3250]
 [3000 5489]
 [3615 2750]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[7, 2, 20, 3, 11, 19, 4, 1, 6]",1973,0,0
17181969,"[[5000 5000]
 [4000 4706]
 [6962 6750]
 [2250 5951]
 [2162 3500]
 [4750 6234]
 [2979 5500]
 [1500 5057]
 [8440 5000]
 [7750 4114]
 [2525 3250]
 [6750 8091]
 [6167 4500]
 [5000 3010]
 [2630 3000]
 [4500 6817]
 [3731 6000]
 [7500 5601]
 [3849 7500]
 [8000 1913]
 [3048 4500]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[1, 6, 3, 4, 10, 13, 19, 9, 17, 2]",1982,0,0
17395188,"[[5000 5000]
 [3250 4379]
 [4261 3750]
 [7250 4350]
 [4425 6000]
 [5250 6621]
 [2262 5500]
 [2250 2508]
 [1763 6750]
 [5000 4362]
 [3017 6000]
 [8000 3727]
 [7192 7500]
 [4750 4235]
 [6188 7000]
 [7750 5227]
 [4228 8000]
 [6500 5375]
 [8421 5250]
 [3250 2427]
 [6580 5750]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[15, 3, 9, 13, 2, 1, 10, 4]",1718,0,8
18464482,"[[5000 5000]
 [6250 7868]
 [2998 5250]
 [4000 5381]
 [3149 5750]
 [1500 1817]
 [3048 1500]
 [1500 4416]
 [4210 5500]
 [3000 2374]
 [4789 3500]
 [3250 3004]
 [3920 4750]
 [4250 1572]
 [8082 6500]
 [4250 2844]
 [5846 4000]
 [2750 7107]
 [6391 4500]
 [6000 6564]
 [3996 5250]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[19, 1, 8, 3, 2, 4, 11, 15, 10]",1456,0,0
18525533,"[[5000 5000]
 [2500 7226]
 [6626 6000]
 [7750 3046]
 [4997 6000]
 [5000 4789]
 [7733 4750]
 [2500 6688]
 [6811 3000]
 [6250 5307]
 [8428 6500]
 [2500 7031]
 [8058 3000]
 [3000 7174]
 [5268 7750]
 [2000 4675]
 [4984 8000]
 [6500 4862]
 [2082 3000]
 [6750 5861]
 [6561 5250]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[5, 15, 11, 1, 13, 4, 2, 19, 8, 3, 6, 17]",1949,0,0
18930197,"[[5000 5000]
 [6250 3436]
 [6010 5750]
 [2750 7597]
 [2037 6000]
 [6500 2267]
 [3170 6750]
 [4250 6001]
 [7733 3250]
 [4000 8302]
 [8368 2750]
 [4750 4963]
 [5665 1500]
 [3750 4296]
 [5714 5000]
 [1500 6998]
 [4889 5500]
 [2250 3973]
 [6035 2000]
 [5500 6436]
 [2458 2500]]",Num of UAV_0: 1 Num of UAV_1: 1,20,0,"[1, 14, 2, 19, 6, 3, 4, 13, 11]",1559,0,0
1098222,"[[5000 5000]
 [5000 4391]
 [6203 7000]
 [4500 7300]
 [7062 7000]
 [6750 1985]
 [7073 4500]
 [1500 3713]
 [2562 5250]
 [2250 7769]
 [2962 7000]
 [2250 4264]
 [3406 8250]
 [2250 1969]
 [3900 4500]
 [6750 2741]
 [7032 4500]
 [8000 3141]
 [2934 1750]
 [2750 5477]
 [2781 7500]]",Num of UAV_0: 1 Num of UAV_1: 1,20,10,"[14, 11, 8, 19, 10, 20, 3, 2, 4, 6, 16, 1]",1488,0,0
3234108,"[[5000 5000]
 [7250 2957]
 [4945 4250]
 [4500 2980]
 [5562 5750]
 [6750 7501]
 [3227 8250]
 [4500 3453]
 [1905 6500]
 [5500 8083]
 [7210 4500]
 [5500 5361]
 [3843 6500]
 [7000 7530]
 [4233 4250]
 [2750 4144]
 [6100 3750]
 [7500 3265]
 [7691 4750]
 [5500 2686]
 [6174 4250]]",Num of UAV_0: 1 Num of UAV_1: 1,20,10,"[2, 20, 10, 1, 3, 14, 12, 4]",1304,0,2
4792065,"[[5000 5000]
 [3500 5952]
 [2765 3500]
 [5250 4847]
 [5049 3500]
 [2250 4653]
 [8425 1500]
 [3250 4810]
 [2576 6750]
 [4000 8236]
 [4791 5750]
 [6000 4596]
 [2560 6000]
 [6250 2170]
 [6245 3000]
 [5000 2048]
 [2560 5500]
 [6250 3319]
 [5217 8000]
 [5000 8228]
 [3911 7750]]",Num of UAV_0: 1 Num of UAV_1: 1,20,10,"[3, 11, 17, 4, 2, 7, 1, 10]",1018,0,0
5541347,"[[5000 5000]
 [6500 6549]
 [3126 5500]
 [6000 6251]
 [7052 2750]
 [7750 3890]
 [4954 4000]
 [6500 4792]
 [5101 4250]
 [2750 4162]
 [1727 7000]
 [4500 4763]
 [6616 5500]
 [2750 5041]
 [6710 4250]
 [6500 4867]
 [7069 1500]
 [2500 7296]
 [1543 2000]
 [4250 3764]
 [6338 4250]]",Num of UAV_0: 1 Num of UAV_1: 1,20,10,"[2, 13, 9, 19, 4, 14, 7, 15, 12, 1, 3]",1452,0,0
6326915,"[[5000 5000]
 [3500 7776]
 [4222 6250]
 [6750 4113]
 [5283 2250]
 [4500 6504]
 [1501 5000]
 [4750 1878]
 [7666 4250]
 [2000 5324]
 [2811 8000]
 [6500 4362]
 [2765 8000]
 [2250 3808]
 [7276 2000]
 [3500 1808]
 [7528 3750]
 [3250 4877]
 [7954 3000]
 [7500 2847]
 [3828 2750]]",Num of UAV_0: 1 Num of UAV_1: 1,20,10,"[5, 2, 1, 17, 20, 7, 4, 3, 8, 11]",1761,0,0
7114942,"[[5000 5000]
 [3000 4433]
 [4899 3500]
 [4250 2787]
 [2139 4500]
 [5750 3723]
 [7390 3500]
 [3500 7144]
 [2466 2500]
 [3500 6685]
 [6755 6250]
 [5500 6357]
 [6893 7500]
 [1500 4374]
 [2557 7750]
 [4750 7904]
 [8393 7250]
 [5750 1777]
 [5430 8000]
 [5500 6438]
 [1796 5750]]",Num of UAV_0: 1 Num of UAV_1: 1,20,10,"[11, 19, 9, 7, 20, 4, 1, 3, 2]",1674,0,0
7543240,"[[5000 5000]
 [4000 6963]
 [7386 7250]
 [4750 2304]
 [7964 6250]
 [3250 4363]
 [6660 5000]
 [4250 1829]
 [7188 4000]
 [6000 2319]
 [1542 5500]
 [5250 7423]
 [7160 4250]
 [7000 2039]
 [6171 5500]
 [3000 3313]
 [2131 5750]
 [2500 2510]
 [3246 7250]
 [3500 2062]
 [2039 3000]]",Num of UAV_0: 1 Num of UAV_1: 1,20,10,"[14, 4, 2, 11, 1, 18, 5, 19, 7, 3]",1762,0,0
7705580,"[[5000 5000]
 [5500 2188]
 [5318 7750]
 [5000 6066]
 [2732 2750]
 [5250 6092]
 [6551 4250]
 [4500 5580]
 [3541 2000]
 [4500 2466]
 [4665 6250]
 [4500 1602]
 [5523 5750]
 [5000 8473]
 [2156 5500]
 [2000 1889]
 [6917 7500]
 [5000 5584]
 [8053 6250]
 [6250 5832]
 [3671 3250]]",Num of UAV_0: 1 Num of UAV_1: 1,20,10,"[3, 5, 2, 12, 1, 9, 8, 4, 20]",1474,0,0
7990145,"[[5000 5000]
 [7250 2095]
 [4833 4000]
 [4500 7889]
 [7853 4250]
 [3500 3599]
 [4514 6750]
 [4250 7437]
 [8195 5750]
 [5500 1953]
 [3645 3000]
 [7250 5056]
 [6070 6500]
 [3000 1967]
 [4040 3250]
 [5000 2416]
 [4329 6250]
 [1750 6611]
 [2721 6250]
 [3250 6378]
 [7922 5000]]",Num of UAV_0: 1 Num of UAV_1: 1,20,10,"[16, 7, 3, 6, 2, 15, 9, 1, 4, 11]",1884,0,0
8804192,"[[5000 5000]
 [7500 7213]
 [5772 5750]
 [6500 6820]
 [6930 2000]
 [6000 1784]
 [4164 2250]
 [4750 7762]
 [2890 8000]
 [4250 6100]
 [1576 3750]
 [6250 7110]
 [6075 3750]
 [8000 4009]
 [4139 4500]
 [1500 2860]
 [5498 4000]
 [7250 3021]
 [4471 4750]
 [6250 4144]
 [7811 2000]]",Num of UAV_0: 1 Num of UAV_1: 1,20,10,"[2, 3, 1, 17, 4, 5, 6, 14, 18]",1746,0,0
10355069,"[[5000 5000]
 [5250 6038]
 [3574 3000]
 [6250 7306]
 [6710 3250]
 [1500 3632]
 [3737 1500]
 [6000 1605]
 [4150 7750]
 [4250 5558]
 [8403 6750]
 [5000 2432]
 [3595 2250]
 [4250 6883]
 [8385 3000]
 [5500 1578]
 [2355 5250]
 [1500 3441]
 [3395 7250]
 [4250 4918]
 [7759 7500]]",Num of UAV_0: 1 Num of UAV_1: 1,20,10,"[2, 12, 6, 15, 7, 4, 3, 1, 9, 19]",1651,0,0
13101285,"[[5000 5000]
 [7000 2944]
 [2681 3000]
 [7500 2489]
 [4186 6250]
 [6750 7325]
 [1554 4750]
 [3250 4342]
 [4714 5250]
 [6500 7952]
 [6424 6750]
 [3000 8328]
 [5023 5500]
 [6000 5572]
 [4200 7750]
 [2500 2164]
 [7843 2000]
 [1500 5137]
 [1993 6500]
 [4250 8371]
 [5379 7000]]",Num of UAV_0: 1 Num of UAV_1: 1,20,10,"[8, 4, 7, 2, 15, 3, 1, 10, 13, 12]",1801,0,2
13975902,"[[5000 5000]
 [2250 6820]
 [4151 6250]
 [2000 6334]
 [3171 5500]
 [6750 2563]
 [4805 2500]
 [1750 7736]
 [7453 3500]
 [4250 2732]
 [7003 5250]
 [8250 3395]
 [5615 2750]
 [6000 7901]
 [5326 6750]
 [6750 2903]
 [3911 8000]
 [8000 1961]
 [6874 6000]
 [6000 6659]
 [8352 2500]]",Num of UAV_0: 1 Num of UAV_1: 1,20,10,"[12, 15, 8, 10, 18, 2, 1, 3, 4]",1582,0,0
14499665,"[[5000 5000]
 [2750 4328]
 [2696 6500]
 [6000 5997]
 [2315 4500]
 [2000 6164]
 [7476 1750]
 [5250 6413]
 [6117 5750]
 [8000 6094]
 [7765 5500]
 [4750 6697]
 [5059 1750]
 [3750 1714]
 [2453 7500]
 [4000 6642]
 [5007 6500]
 [7500 7870]
 [2220 2500]
 [5000 6849]
 [3814 2500]]",Num of UAV_0: 1 Num of UAV_1: 1,20,10,"[8, 3, 7, 15, 2, 4, 1, 20, 13, 12]",1473,0,0
16850502,"[[5000 5000]
 [4750 7009]
 [5303 2750]
 [3000 3554]
 [4322 6500]
 [7500 6449]
 [4964 6500]
 [7250 5090]
 [2649 7500]
 [8250 4174]
 [2758 2750]
 [3000 3779]
 [5846 1500]
 [3250 8047]
 [7714 8000]
 [2000 5299]
 [4233 3750]
 [7500 7500]
 [4634 3250]
 [3000 5489]
 [3615 2750]]",Num of UAV_0: 1 Num of UAV_1: 1,20,10,"[7, 2, 20, 3, 11, 19, 4, 1, 6]",1732,0,0
17181969,"[[5000 5000]
 [4000 4706]
 [6962 6750]
 [2250 5951]
 [2162 3500]
 [4750 6234]
 [2979 5500]
 [1500 5057]
 [8440 5000]
 [7750 4114]
 [2525 3250]
 [6750 8091]
 [6167 4500]
 [5000 3010]
 [2630 3000]
 [4500 6817]
 [3731 6000]
 [7500 5601]
 [3849 7500]
 [8000 1913]
 [3048 4500]]",Num of UAV_0: 1 Num of UAV_1: 1,20,10,"[2, 17, 9, 19, 13, 10, 4, 3, 6, 1]",1982,0,0
17395188,"[[5000 5000]
 [3250 4379]
 [4261 3750]
 [7250 4350]
 [4425 6000]
 [5250 6621]
 [2262 5500]
 [2250 2508]
 [1763 6750]
 [5000 4362]
 [3017 6000]
 [8000 3727]
 [7192 7500]
 [4750 4235]
 [6188 7000]
 [7750 5227]
 [4228 8000]
 [6500 5375]
 [8421 5250]
 [3250 2427]
 [6580 5750]]",Num of UAV_0: 1 Num of UAV_1: 1,20,10,"[15, 3, 9, 13, 2, 1, 10, 4]",1219,0,0
18464482,"[[5000 5000]
 [6250 7868]
 [2998 5250]
 [4000 5381]
 [3149 5750]
 [1500 1817]
 [3048 1500]
 [1500 4416]
 [4210 5500]
 [3000 2374]
 [4789 3500]
 [3250 3004]
 [3920 4750]
 [4250 1572]
 [8082 6500]
 [4250 2844]
 [5846 4000]
 [2750 7107]
 [6391 4500]
 [6000 6564]
 [3996 5250]]",Num of UAV_0: 1 Num of UAV_1: 1,20,10,"[19, 1, 8, 3, 2, 4, 11, 15, 10]",1456,2,0
18525533,"[[5000 5000]
 [2500 7226]
 [6626 6000]
 [7750 3046]
 [4997 6000]
 [5000 4789]
 [7733 4750]
 [2500 6688]
 [6811 3000]
 [6250 5307]
 [8428 6500]
 [2500 7031]
 [8058 3000]
 [3000 7174]
 [5268 7750]
 [2000 4675]
 [4984 8000]
 [6500 4862]
 [2082 3000]
 [6750 5861]
 [6561 5250]]",Num of UAV_0: 1 Num of UAV_1: 1,20,10,"[5, 15, 11, 1, 13, 4, 2, 19, 8, 3, 6, 17]",1949,0,0
18930197,"[[5000 5000]
 [6250 3436]
 [6010 5750]
 [2750 7597]
 [2037 6000]
 [6500 2267]
 [3170 6750]
 [4250 6001]
 [7733 3250]
 [4000 8302]
 [8368 2750]
 [4750 4963]
 [5665 1500]
 [3750 4296]
 [5714 5000]
 [1500 6998]
 [4889 5500]
 [2250 3973]
 [6035 2000]
 [5500 6436]
 [2458 2500]]",Num of UAV_0: 1 Num of UAV_1: 1,20,10,"[1, 14, 2, 19, 6, 3, 4, 13, 11]",1559,0,0
1098222,"[[5000 5000]
 [5000 4391]
 [6203 7000]
 [4500 7300]
 [7062 7000]
 [6750 1985]
 [7073 4500]
 [1500 3713]
 [2562 5250]
 [2250 7769]
 [2962 7000]
 [2250 4264]
 [3406 8250]
 [2250 1969]
 [3900 4500]
 [6750 2741]
 [7032 4500]
 [8000 3141]
 [2934 1750]
 [2750 5477]
 [2781 7500]]",Num of UAV_0: 1 Num of UAV_1: 1,20,20,"[14, 11, 8, 19, 10, 20, 3, 2, 4, 6, 16, 1]",1488,0,0
3234108,"[[5000 5000]
 [7250 2957]
 [4945 4250]
 [4500 2980]
 [5562 5750]
 [6750 7501]
 [3227 8250]
 [4500 3453]
 [1905 6500]
 [5500 8083]
 [7210 4500]
 [5500 5361]
 [3843 6500]
 [7000 7530]
 [4233 4250]
 [2750 4144]
 [6100 3750]
 [7500 3265]
 [7691 4750]
 [5500 2686]
 [6174 4250]]",Num of UAV_0: 1 Num of UAV_1: 1,20,20,"[2, 20, 10, 1, 3, 14, 12, 4]",2016,2,4
4792065,"[[5000 5000]
 [3500 5952]
 [2765 3500]
 [5250 4847]
 [5049 3500]
 [2250 4653]
 [8425 1500]
 [3250 4810]
 [2576 6750]
 [4000 8236]
 [4791 5750]
 [6000 4596]
 [2560 6000]
 [6250 2170]
 [6245 3000]
 [5000 2048]
 [2560 5500]
 [6250 3319]
 [5217 8000]
 [5000 8228]
 [3911 7750]]",Num of UAV_0: 1 Num of UAV_1: 1,20,20,"[3, 11, 17, 4, 2, 7, 1, 10]",1018,0,0
5541347,"[[5000 5000]
 [6500 6549]
 [3126 5500]
 [6000 6251]
 [7052 2750]
 [7750 3890]
 [4954 4000]
 [6500 4792]
 [5101 4250]
 [2750 4162]
 [1727 7000]
 [4500 4763]
 [6616 5500]
 [2750 5041]
 [6710 4250]
 [6500 4867]
 [7069 1500]
 [2500 7296]
 [1543 2000]
 [4250 3764]
 [6338 4250]]",Num of UAV_0: 1 Num of UAV_1: 1,20,20,"[2, 13, 9, 19, 4, 14, 7, 15, 12, 1, 3]",1452,0,0
6326915,"[[5000 5000]
 [3500 7776]
 [4222 6250]
 [6750 4113]
 [5283 2250]
 [4500 6504]
 [1501 5000]
 [4750 1878]
 [7666 4250]
 [2000 5324]
 [2811 8000]
 [6500 4362]
 [2765 8000]
 [2250 3808]
 [7276 2000]
 [3500 1808]
 [7528 3750]
 [3250 4877]
 [7954 3000]
 [7500 2847]
 [3828 2750]]",Num of UAV_0: 1 Num of UAV_1: 1,20,20,"[5, 2, 1, 17, 20, 7, 4, 3, 8, 11]",1761,0,0
7114942,"[[5000 5000]
 [3000 4433]
 [4899 3500]
 [4250 2787]
 [2139 4500]
 [5750 3723]
 [7390 3500]
 [3500 7144]
 [2466 2500]
 [3500 6685]
 [6755 6250]
 [5500 6357]
 [6893 7500]
 [1500 4374]
 [2557 7750]
 [4750 7904]
 [8393 7250]
 [5750 1777]
 [5430 8000]
 [5500 6438]
 [1796 5750]]",Num of UAV_0: 1 Num of UAV_1: 1,20,20,"[11, 19, 9, 7, 20, 4, 1, 3, 2]",1674,0,0
7543240,"[[5000 5000]
 [4000 6963]
 [7386 7250]
 [4750 2304]
 [7964 6250]
 [3250 4363]
 [6660 5000]
 [4250 1829]
 [7188 4000]
 [6000 2319]
 [1542 5500]
 [5250 7423]
 [7160 4250]
 [7000 2039]
 [6171 5500]
 [3000 3313]
 [2131 5750]
 [2500 2510]
 [3246 7250]
 [3500 2062]
 [2039 3000]]",Num of UAV_0: 1 Num of UAV_1: 1,20,20,"[14, 4, 2, 11, 1, 18, 5, 19, 7, 3]",1762,0,0
7705580,"[[5000 5000]
 [5500 2188]
 [5318 7750]
 [5000 6066]
 [2732 2750]
 [5250 6092]
 [6551 4250]
 [4500 5580]
 [3541 2000]
 [4500 2466]
 [4665 6250]
 [4500 1602]
 [5523 5750]
 [5000 8473]
 [2156 5500]
 [2000 1889]
 [6917 7500]
 [5000 5584]
 [8053 6250]
 [6250 5832]
 [3671 3250]]",Num of UAV_0: 1 Num of UAV_1: 1,20,20,"[3, 5, 2, 12, 1, 9, 8, 4, 20]",1474,0,0
7990145,"[[5000 5000]
 [7250 2095]
 [4833 4000]
 [4500 7889]
 [7853 4250]
 [3500 3599]
 [4514 6750]
 [4250 7437]
 [8195 5750]
 [5500 1953]
 [3645 3000]
 [7250 5056]
 [6070 6500]
 [3000 1967]
 [4040 3250]
 [5000 2416]
 [4329 6250]
 [1750 6611]
 [2721 6250]
 [3250 6378]
 [7922 5000]]",Num of UAV_0: 1 Num of UAV_1: 1,20,20,"[16, 7, 3, 6, 2, 15, 9, 1, 4, 11]",1884,0,0
8804192,"[[5000 5000]
 [7500 7213]
 [5772 5750]
 [6500 6820]
 [6930 2000]
 [6000 1784]
 [4164 2250]
 [4750 7762]
 [2890 8000]
 [4250 6100]
 [1576 3750]
 [6250 7110]
 [6075 3750]
 [8000 4009]
 [4139 4500]
 [1500 2860]
 [5498 4000]
 [7250 3021]
 [4471 4750]
 [6250 4144]
 [7811 2000]]",Num of UAV_0: 1 Num of UAV_1: 1,20,20,"[2, 3, 1, 17, 4, 5, 6, 14, 18]",1758,0,0
10355069,"[[5000 5000]
 [5250 6038]
 [3574 3000]
 [6250 7306]
 [6710 3250]
 [1500 3632]
 [3737 1500]
 [6000 1605]
 [4150 7750]
 [4250 5558]
 [8403 6750]
 [5000 2432]
 [3595 2250]
 [4250 6883]
 [8385 3000]
 [5500 1578]
 [2355 5250]
 [1500 3441]
 [3395 7250]
 [4250 4918]
 [7759 7500]]",Num of UAV_0: 1 Num of UAV_1: 1,20,20,"[2, 12, 6, 15, 7, 4, 3, 1, 9, 19]",1651,0,0
13101285,"[[5000 5000]
 [7000 2944]
 [2681 3000]
 [7500 2489]
 [4186 6250]
 [6750 7325]
 [1554 4750]
 [3250 4342]
 [4714 5250]
 [6500 7952]
 [6424 6750]
 [3000 8328]
 [5023 5500]
 [6000 5572]
 [4200 7750]
 [2500 2164]
 [7843 2000]
 [1500 5137]
 [1993 6500]
 [4250 8371]
 [5379 7000]]",Num of UAV_0: 1 Num of UAV_1: 1,20,20,"[8, 4, 7, 2, 15, 3, 1, 10, 13, 12]",1801,0,0
13975902,"[[5000 5000]
 [2250 6820]
 [4151 6250]
 [2000 6334]
 [3171 5500]
 [6750 2563]
 [4805 2500]
 [1750 7736]
 [7453 3500]
 [4250 2732]
 [7003 5250]
 [8250 3395]
 [5615 2750]
 [6000 7901]
 [5326 6750]
 [6750 2903]
 [3911 8000]
 [8000 1961]
 [6874 6000]
 [6000 6659]
 [8352 2500]]",Num of UAV_0: 1 Num of UAV_1: 1,20,20,"[12, 15, 8, 10, 18, 2, 1, 3, 4]",1582,0,0
